2023-11-12 02:18:12.883 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.8 on otaehun-ui-MacBookAir.local with PID 7416 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/springboot/test01_5/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/springboot/test01_5)
2023-11-12 02:18:12.884 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-12 02:18:13.203 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 02:18:13.203 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 02:18:14.532 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-12 02:18:14.538 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-12 02:18:14.539 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-12 02:18:14.539 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-12 02:18:14.589 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-12 02:18:14.590 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1386 ms
2023-11-12 02:18:15.351 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3287b9e0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3b238fe5, org.springframework.security.web.context.SecurityContextPersistenceFilter@1087abe5, org.springframework.security.web.header.HeaderWriterFilter@7424b16a, org.springframework.security.web.authentication.logout.LogoutFilter@25538775, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@51367ae3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@27fba6c7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@667e8c57, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f446c13, org.springframework.security.web.session.SessionManagementFilter@4e03721d, org.springframework.security.web.access.ExceptionTranslationFilter@3cff0e69, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60a38d15]
2023-11-12 02:18:15.515 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
